column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22
1,1577-1234,1번 테스트 문자입니다.,"1번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345678,ABCDEFG,김유신,2023.05.31,9,LMS,1,1577-1234,1번 담당자님 전달 문자입니다.,"1번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345678,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
2,1577-1234,2번 테스트 문자입니다.,"2번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345679,ABCDEFG,김유신,2023.05.31,9,LMS,2,1577-1234,2번 담당자님 전달 문자입니다.,"2번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345679,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
3,1577-1234,3번 테스트 문자입니다.,"3번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345680,ABCDEFG,김유신,2023.05.31,9,LMS,3,1577-1234,3번 담당자님 전달 문자입니다.,"3번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345680,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
4,1577-1234,4번 테스트 문자입니다.,"4번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345681,ABCDEFG,김유신,2023.05.31,9,LMS,4,1577-1234,4번 담당자님 전달 문자입니다.,"4번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345681,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
5,1577-1234,5번 테스트 문자입니다.,"5번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345682,ABCDEFG,김유신,2023.05.31,9,LMS,5,1577-1234,5번 담당자님 전달 문자입니다.,"5번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345682,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
6,1577-1234,6번 테스트 문자입니다.,"6번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345683,ABCDEFG,김유신,2023.05.31,9,LMS,6,1577-1234,6번 담당자님 전달 문자입니다.,"6번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345683,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
7,1577-1234,7번 테스트 문자입니다.,"7번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345684,ABCDEFG,김유신,2023.05.31,9,LMS,7,1577-1234,7번 담당자님 전달 문자입니다.,"7번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345684,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
8,1577-1234,8번 테스트 문자입니다.,"8번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345685,ABCDEFG,김유신,2023.05.31,9,LMS,8,1577-1234,8번 담당자님 전달 문자입니다.,"8번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345685,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
9,1577-1234,9번 테스트 문자입니다.,"9번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345686,ABCDEFG,김유신,2023.05.31,9,LMS,9,1577-1234,9번 담당자님 전달 문자입니다.,"9번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345686,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
10,1577-1234,10번 테스트 문자입니다.,"10번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345687,ABCDEFG,김유신,2023.05.31,9,LMS,10,1577-1234,10번 담당자님 전달 문자입니다.,"10번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345687,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
11,1577-1234,11번 테스트 문자입니다.,"11번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345688,ABCDEFG,김유신,2023.05.31,9,LMS,11,1577-1234,11번 담당자님 전달 문자입니다.,"11번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345688,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
12,1577-1234,12번 테스트 문자입니다.,"12번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345689,ABCDEFG,김유신,2023.05.31,9,LMS,12,1577-1234,12번 담당자님 전달 문자입니다.,"12번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345689,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
13,1577-1234,13번 테스트 문자입니다.,"13번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345690,ABCDEFG,김유신,2023.05.31,9,LMS,13,1577-1234,13번 담당자님 전달 문자입니다.,"13번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345690,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
