tradeId	accountId	customerName	stockCode	stockName	marketType	orderType	orderChannel	quantity	price	orderAmount	tradeStatus	branchCode	employeeId	currency	deviceType	ipAddress	createdAt	updatedAt	remark
T000000	ACC827697	허순자	035420	SK하이닉스	KOSDAQ	SELL	MTS	139	265739	45712825	PENDING	BR887	EMP3326	KRW	PC	197.30.22.164	2024-01-01 00:00:00	2024-01-01 00:05:00	VIP고객
T000001	ACC340165	신영순	068270	SK하이닉스	KOSDAQ	BUY	MTS	788	254532	44203149	PENDING	BR438	EMP4558	KRW	MOBILE	182.48.250.103	2024-01-01 00:01:00	2024-01-01 00:06:00	VIP고객
T000002	ACC443670	강진호	035420	SK하이닉스	KOSPI	BUY	HTS	34	419345	21971738	COMPLETED	BR648	EMP7305	KRW	PC	176.145.183.65	2024-01-01 00:02:00	2024-01-01 00:07:00	정상거래
T000003	ACC518408	한현주	005930	NAVER	KOSPI	BUY	HTS	513	219386	34105282	CANCELLED	BR352	EMP4470	KRW	TABLET	11.246.190.59	2024-01-01 00:03:00	2024-01-01 00:08:00	테스트데이터
T000004	ACC330397	최채원	035420	NAVER	KOSPI	BUY	WTS	959	155665	26300301	COMPLETED	BR242	EMP6539	KRW	PC	63.244.130.103	2024-01-01 00:04:00	2024-01-01 00:09:00	리밸런싱
T000005	ACC346985	나순자	000660	LG화학	KOSDAQ	BUY	HTS	219	276808	26516140	CANCELLED	BR945	EMP8579	KRW	TABLET	9.26.157.141	2024-01-01 00:05:00	2024-01-01 00:10:00	VIP고객
T000006	ACC381866	김지후	000660	NAVER	KOSDAQ	SELL	MTS	91	387218	49696256	COMPLETED	BR446	EMP2144	KRW	TABLET	171.17.239.211	2024-01-01 00:06:00	2024-01-01 00:11:00	정상거래
T000007	ACC393063	최지은	000660	셀트리온	KOSDAQ	SELL	WTS	469	299673	7618242	COMPLETED	BR117	EMP5818	KRW	TABLET	63.111.158.119	2024-01-01 00:07:00	2024-01-01 00:12:00	자동주문
T000008	ACC526955	김민준	068270	SK하이닉스	KOSPI	SELL	WTS	110	393836	42573160	PENDING	BR486	EMP1128	KRW	PC	141.231.244.114	2024-01-01 00:08:00	2024-01-01 00:13:00	자동주문
T000009	ACC675024	김정숙	005930	SK하이닉스	KOSPI	SELL	MTS	869	174065	19321309	PENDING	BR229	EMP2661	KRW	PC	129.83.169.46	2024-01-01 00:09:00	2024-01-01 00:14:00	테스트데이터
T000010	ACC993021	박성호	035420	SK하이닉스	KOSDAQ	SELL	MTS	130	377294	11599477	CANCELLED	BR687	EMP5384	KRW	MOBILE	103.215.160.11	2024-01-01 00:10:00	2024-01-01 00:15:00	리밸런싱
T000011	ACC262392	이영자	068270	LG화학	KOSPI	SELL	WTS	592	492672	6014385	COMPLETED	BR643	EMP7948	KRW	MOBILE	148.210.219.35	2024-01-01 00:11:00	2024-01-01 00:16:00	정상거래
T000012	ACC946040	유재현	005930	삼성전자	KOSPI	SELL	HTS	134	316455	48795602	CANCELLED	BR129	EMP7396	KRW	PC	158.203.117.139	2024-01-01 00:12:00	2024-01-01 00:17:00	테스트데이터
T000013	ACC525259	강지영	035420	셀트리온	KOSDAQ	SELL	WTS	435	156788	42590331	CANCELLED	BR977	EMP9386	KRW	MOBILE	211.193.139.73	2024-01-01 00:13:00	2024-01-01 00:18:00	정상거래
T000014	ACC921032	권동현	051910	NAVER	KOSDAQ	BUY	HTS	222	325731	990405	PENDING	BR220	EMP9021	KRW	MOBILE	48.91.39.62	2024-01-01 00:14:00	2024-01-01 00:19:00	자동주문
T000015	ACC725833	김지훈	051910	LG화학	KOSDAQ	BUY	HTS	54	70313	46687206	COMPLETED	BR359	EMP4259	KRW	TABLET	19.212.126.147	2024-01-01 00:15:00	2024-01-01 00:20:00	테스트데이터
T000016	ACC170625	임현지	000660	LG화학	KOSDAQ	SELL	HTS	788	373032	791625	PENDING	BR627	EMP3228	KRW	PC	201.124.3.196	2024-01-01 00:16:00	2024-01-01 00:21:00	VIP고객
T000017	ACC557456	박주원	051910	LG화학	KOSDAQ	BUY	MTS	533	121585	5724764	PENDING	BR630	EMP3034	KRW	TABLET	87.28.221.106	2024-01-01 00:17:00	2024-01-01 00:22:00	자동주문
T000018	ACC552239	오민지	068270	셀트리온	KOSDAQ	SELL	WTS	476	489683	49280944	CANCELLED	BR456	EMP3917	KRW	TABLET	157.255.127.168	2024-01-01 00:18:00	2024-01-01 00:23:00	VIP고객
T000019	ACC932291	박아름	051910	SK하이닉스	KOSPI	BUY	MTS	499	23514	22363797	CANCELLED	BR939	EMP6002	KRW	TABLET	186.128.81.75	2024-01-01 00:19:00	2024-01-01 00:24:00	정상거래
T000020	ACC347560	윤은서	000660	삼성전자	KOSDAQ	BUY	MTS	723	146381	10275321	COMPLETED	BR923	EMP5918	KRW	PC	90.139.238.32	2024-01-01 00:20:00	2024-01-01 00:25:00	VIP고객
T000021	ACC548892	양정남	005930	삼성전자	KOSPI	SELL	WTS	910	461007	31033260	COMPLETED	BR831	EMP4224	KRW	MOBILE	7.158.116.221	2024-01-01 00:21:00	2024-01-01 00:26:00	리밸런싱
T000022	ACC247434	홍현준	035420	삼성전자	KOSDAQ	BUY	HTS	840	14481	30057938	PENDING	BR245	EMP6615	KRW	PC	163.189.46.177	2024-01-01 00:22:00	2024-01-01 00:27:00	테스트데이터
T000023	ACC529723	이지영	005930	LG화학	KOSDAQ	BUY	HTS	610	296830	37791663	PENDING	BR298	EMP7188	KRW	MOBILE	131.110.123.193	2024-01-01 00:23:00	2024-01-01 00:28:00	테스트데이터
T000024	ACC369364	김수진	000660	SK하이닉스	KOSPI	BUY	WTS	277	441381	40537309	PENDING	BR107	EMP3068	KRW	MOBILE	3.27.182.27	2024-01-01 00:24:00	2024-01-01 00:29:00	테스트데이터
T000025	ACC481194	윤민석	051910	LG화학	KOSPI	SELL	MTS	442	292994	48243130	PENDING	BR971	EMP3992	KRW	MOBILE	19.80.158.177	2024-01-01 00:25:00	2024-01-01 00:30:00	자동주문
T000026	ACC682480	김동현	035420	셀트리온	KOSDAQ	SELL	WTS	925	218552	17456738	CANCELLED	BR797	EMP6109	KRW	TABLET	186.25.141.3	2024-01-01 00:26:00	2024-01-01 00:31:00	VIP고객
T000027	ACC302388	김광수	035420	셀트리온	KOSPI	SELL	HTS	479	267776	38338966	COMPLETED	BR281	EMP3937	KRW	PC	172.177.121.245	2024-01-01 00:27:00	2024-01-01 00:32:00	자동주문
T000028	ACC740019	황민지	051910	LG화학	KOSDAQ	BUY	HTS	39	321852	45796946	PENDING	BR998	EMP3161	KRW	TABLET	211.154.54.121	2024-01-01 00:28:00	2024-01-01 00:33:00	VIP고객
T000029	ACC451768	서성호	000660	NAVER	KOSPI	BUY	MTS	290	69696	45344482	PENDING	BR834	EMP9251	KRW	TABLET	175.221.59.162	2024-01-01 00:29:00	2024-01-01 00:34:00	VIP고객
T000030	ACC824612	임서윤	068270	삼성전자	KOSDAQ	BUY	WTS	420	253868	46487043	COMPLETED	BR219	EMP5255	KRW	MOBILE	8.221.22.89	2024-01-01 00:30:00	2024-01-01 00:35:00	VIP고객
T000031	ACC643087	김은경	068270	셀트리온	KOSPI	SELL	HTS	140	164796	43964798	COMPLETED	BR649	EMP6519	KRW	PC	12.187.54.95	2024-01-01 00:31:00	2024-01-01 00:36:00	자동주문
T000032	ACC149959	김진우	051910	삼성전자	KOSPI	SELL	MTS	992	408617	18834152	CANCELLED	BR986	EMP4546	KRW	TABLET	50.123.153.230	2024-01-01 00:32:00	2024-01-01 00:37:00	정상거래
T000033	ACC856914	이현지	035420	LG화학	KOSPI	SELL	WTS	227	166716	24191806	PENDING	BR338	EMP7252	KRW	TABLET	25.237.206.36	2024-01-01 00:33:00	2024-01-01 00:38:00	테스트데이터
T000034	ACC494122	전지현	035420	NAVER	KOSPI	BUY	MTS	585	380899	25943115	CANCELLED	BR836	EMP2423	KRW	MOBILE	16.146.55.10	2024-01-01 00:34:00	2024-01-01 00:39:00	자동주문
T000035	ACC156604	윤지연	005930	SK하이닉스	KOSDAQ	SELL	MTS	208	221710	37806412	COMPLETED	BR447	EMP3655	KRW	TABLET	181.238.169.239	2024-01-01 00:35:00	2024-01-01 00:40:00	VIP고객
T000036	ACC974288	김유진	005930	SK하이닉스	KOSDAQ	BUY	HTS	608	159252	2794124	CANCELLED	BR186	EMP4285	KRW	TABLET	142.37.226.153	2024-01-01 00:36:00	2024-01-01 00:41:00	테스트데이터
T000037	ACC468764	이서준	005930	삼성전자	KOSDAQ	SELL	WTS	360	355441	31557296	PENDING	BR869	EMP2012	KRW	MOBILE	33.4.77.136	2024-01-01 00:37:00	2024-01-01 00:42:00	정상거래
T000038	ACC163014	김민지	000660	SK하이닉스	KOSPI	BUY	HTS	310	348356	10471223	PENDING	BR377	EMP7631	KRW	MOBILE	13.117.237.59	2024-01-01 00:38:00	2024-01-01 00:43:00	자동주문
T000039	ACC746165	김미영	000660	LG화학	KOSPI	BUY	MTS	412	212885	45185738	CANCELLED	BR871	EMP9644	KRW	PC	90.147.89.49	2024-01-01 00:39:00	2024-01-01 00:44:00	리밸런싱
T000040	ACC745260	박정호	035420	삼성전자	KOSDAQ	BUY	HTS	853	94624	42412033	CANCELLED	BR951	EMP2728	KRW	TABLET	77.141.30.37	2024-01-01 00:40:00	2024-01-01 00:45:00	정상거래
T000041	ACC505915	박재호	068270	LG화학	KOSDAQ	BUY	MTS	322	110495	5419772	CANCELLED	BR713	EMP2030	KRW	MOBILE	124.61.69.84	2024-01-01 00:41:00	2024-01-01 00:46:00	테스트데이터
T000042	ACC958116	박성훈	051910	셀트리온	KOSDAQ	SELL	WTS	63	18448	7220761	COMPLETED	BR917	EMP6983	KRW	PC	200.233.163.6	2024-01-01 00:42:00	2024-01-01 00:47:00	테스트데이터
T000043	ACC542869	노지훈	035420	LG화학	KOSPI	SELL	WTS	366	164279	35455531	COMPLETED	BR816	EMP5130	KRW	TABLET	93.13.131.37	2024-01-01 00:43:00	2024-01-01 00:48:00	자동주문
T000044	ACC151374	이미영	068270	LG화학	KOSPI	SELL	WTS	129	359780	13032357	PENDING	BR502	EMP6530	KRW	MOBILE	110.154.98.86	2024-01-01 00:44:00	2024-01-01 00:49:00	정상거래
